+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|  18/0 |    |      |      | RFSH |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  19/1 | M1 |      |      |      |    |    |     |     |      | 0005 | ED | 0005 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  19/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0005 | ED | 0006 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  20/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0005 | 5E | 0006 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  20/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0005 | 5E | 0006 | 0000 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  21/1 |    |      |      | RFSH |    |    |     |     |      | 0003 | 5E | 0006 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  21/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0003 | 5E | 0006 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  22/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0003 | 5E | 0006 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  22/0 |    |      |      | RFSH |    |    |     |     |      | 0003 | 5E | 0006 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  23/1 | M1 |      |      |      |    |    |     |     |      | 0006 | 5E | 0006 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  23/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0006 | 5E | 0007 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  24/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0006 | AF | 0007 | 0000 | 5E | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  24/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0006 | AF | 0007 | 0000 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  25/1 |    |      |      | RFSH |    |    |     |     |      | 0004 | AF | 0007 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  25/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0004 | AF | 0007 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  26/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0004 | AF | 0007 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  26/0 |    |      |      | RFSH |    |    |     |     |      | 0004 | AF | 0007 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | XOR A        |
|  27/1 | M1 |      |      |      |    |    |     |     |      | 0007 | AF | 0007 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  27/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0007 | AF | 0008 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  28/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0007 | ED | 0008 | 0000 | AF | 5555 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  28/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0007 | ED | 0008 | 0000 | 00 | 0055 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  29/1 |    |      |      | RFSH |    |    |     |     |      | 0005 | ED | 0008 | 0000 | ED | 0055 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  29/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0005 | ED | 0008 | 0000 | ED | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  30/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0005 | ED | 0008 | 0000 | ED | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  30/0 |    |      |      | RFSH |    |    |     |     |      | 0005 | ED | 0008 | 0000 | ED | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  31/1 | M1 |      |      |      |    |    |     |     |      | 0008 | ED | 0008 | 0000 | ED | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  31/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0008 | ED | 0009 | 0000 | ED | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  32/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0008 | 47 | 0009 | 0000 | ED | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  32/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0008 | 47 | 0009 | 0000 | 00 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  33/1 |    |      |      | RFSH |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
