+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|   T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | HL   |mem | Asm          |
| 23/1 |    | MREQ |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 23/0 |    | MREQ |      |      |    | WR | 002F | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 24/1 |    | MREQ |      |      |    | WR | 002F | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 24/0 |    |      |      |      |    |    | 002F | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 25/1 |    |      |      |      |    |    | 002E | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 25/0 |    | MREQ |      |      |    |    | 002E | 06 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 26/1 |    | MREQ |      |      |    |    | 002E | 06 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 26/0 |    | MREQ |      |      |    | WR | 002E | 06 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 27/1 |    | MREQ |      |      |    | WR | 002E | 06 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 27/0 |    |      |      |      |    |    | 002E | 06 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 28/1 | M1 |      |      |      |    |    | 0008 | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | LD HL,000Dh  |
| 28/0 | M1 | MREQ |      |      | RD |    | 0008 | 00 | 0009 | 002E | CD | 5555 | 5555 | 40 | LD HL,000Dh  |
| 29/1 | M1 | MREQ |      |      | RD |    | 0008 | 21 | 0009 | 002E | CD | 5555 | 5555 | 40 | LD HL,000Dh  |
| 29/0 | M1 | MREQ |      |      | RD |    | 0008 | 21 | 0009 | 002E | 00 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 30/1 |    |      |      | RFSH |    |    | 0002 | 21 | 0009 | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 30/0 |    | MREQ |      | RFSH |    |    | 0002 | 21 | 0009 | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 31/1 |    | MREQ |      | RFSH |    |    | 0002 | 21 | 0009 | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 31/0 |    |      |      | RFSH |    |    | 0002 | 21 | 0009 | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 32/1 |    |      |      |      |    |    | 0009 | 21 | 0009 | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
