+------+----+------+------+------+----+----+-----+-----+------+----+------+------+----+------+------+------+----+-----+-------+--------------+
|ins/t | M1 | MREQ | IORQ | RFSH | RD | WR | INT | IFF | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | ieo | pio   | asm          |
| 14/6 |    | MREQ |      |      | RD |    |     | 0,0 | 0024 | 06 | 0025 | FFFE | 06 | 0040 | 001D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
| 14/7 |    |      |      |      |    |    |     | 0,0 | 0024 | 03 | 0025 | FFFE | 06 | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD B,03h     |
| 15/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0025 | 03 | 0026 | FFFE | 06 | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 15/2 |    |      |      |      |    |    |     | 0,0 | 0025 | 0E | 0026 | FFFE | 0E | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 15/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0013 | 0E | 0026 | FFFE | 0E | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 15/4 |    |      |      |      |    |    |     | 0,0 | 0013 | 0E | 0026 | FFFE | 0E | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 15/5 |    |      |      |      |    |    |     | 0,0 | 0013 | 0E | 0026 | FFFE | 0E | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 15/6 |    | MREQ |      |      | RD |    |     | 0,0 | 0026 | 0E | 0027 | FFFE | 0E | 0040 | 031D | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 15/7 |    |      |      |      |    |    |     | 0,0 | 0026 | 1F | 0027 | FFFE | 0E | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | LD C,1Fh     |
| 16/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0027 | 1F | 0028 | FFFE | 0E | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/2 |    |      |      |      |    |    |     | 0,0 | 0027 | ED | 0028 | FFFE | ED | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0014 | ED | 0028 | FFFE | ED | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/4 |    |      |      |      |    |    |     | 0,0 | 0014 | ED | 0028 | FFFE | ED | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0028 | ED | 0029 | FFFE | ED | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/6 |    |      |      |      |    |    |     | 0,0 | 0028 | B3 | 0029 | FFFE | B3 | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0015 | B3 | 0029 | FFFE | B3 | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/8 |    |      |      |      |    |    |     | 0,0 | 0015 | B3 | 0029 | FFFE | B3 | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/9 |    |      |      |      |    |    |     | 0,0 | 0015 | B3 | 0029 | FFFE | B3 | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/10|    |      |      |      |    |    |     | 0,0 | 0015 | B3 | 0029 | FFFE | B3 | 0040 | 031F | 0053 | FF | 1,1 | FF,FF | OTIR         |
| 16/11|    | MREQ |      |      | RD |    |     | 0,0 | 0053 | B3 | 0029 | FFFE | B3 | 0040 | 031F | 0054 | FF | 1,1 | FF,FF | OTIR         |
| 16/12|    |      |      |      |    |    |     | 0,0 | 0053 | CF | 0029 | FFFE | B3 | 0040 | 021F | 0054 | FF | 1,1 | FF,FF | OTIR         |
| 16/13|    |      |      |      |    |    |     | 0,0 | 0053 | CF | 0029 | FFFE | B3 | 0040 | 021F | 0054 | FF | 1,1 | FF,FF | OTIR         |
| 16/14|    |      | IORQ |      |    | WR |     | 0,0 | 021F | CF | 0029 | FFFE | B3 | 0040 | 021F | 0054 | FF | 1,1 | FF,FF | OTIR         |
| 16/15|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 16/16|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 16/17|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0027 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 16/18|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0027 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 16/19|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0027 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 16/20|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0027 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 16/21|    |      |      |      |    |    |     | 0,0 | 021F | CF | 0027 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0027 | CF | 0028 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/2 |    |      |      |      |    |    |     | 0,0 | 0027 | ED | 0028 | FFFE | ED | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0016 | ED | 0028 | FFFE | ED | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/4 |    |      |      |      |    |    |     | 0,0 | 0016 | ED | 0028 | FFFE | ED | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0028 | ED | 0029 | FFFE | ED | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/6 |    |      |      |      |    |    |     | 0,0 | 0028 | B3 | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0017 | B3 | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/8 |    |      |      |      |    |    |     | 0,0 | 0017 | B3 | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/9 |    |      |      |      |    |    |     | 0,0 | 0017 | B3 | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/10|    |      |      |      |    |    |     | 0,0 | 0017 | B3 | 0029 | FFFE | B3 | 0013 | 021F | 0054 | FF | 1,1 | FF,00 | OTIR         |
| 17/11|    | MREQ |      |      | RD |    |     | 0,0 | 0054 | B3 | 0029 | FFFE | B3 | 0013 | 021F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/12|    |      |      |      |    |    |     | 0,0 | 0054 | 00 | 0029 | FFFE | B3 | 0013 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/13|    |      |      |      |    |    |     | 0,0 | 0054 | 00 | 0029 | FFFE | B3 | 0013 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/14|    |      | IORQ |      |    | WR |     | 0,0 | 011F | 00 | 0029 | FFFE | B3 | 0013 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/15|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/16|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/17|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0027 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/18|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0027 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/19|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0027 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/20|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0027 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 17/21|    |      |      |      |    |    |     | 0,0 | 011F | 00 | 0027 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0027 | 00 | 0028 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/2 |    |      |      |      |    |    |     | 0,0 | 0027 | ED | 0028 | FFFE | ED | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0018 | ED | 0028 | FFFE | ED | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/4 |    |      |      |      |    |    |     | 0,0 | 0018 | ED | 0028 | FFFE | ED | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0028 | ED | 0029 | FFFE | ED | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/6 |    |      |      |      |    |    |     | 0,0 | 0028 | B3 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0019 | B3 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/8 |    |      |      |      |    |    |     | 0,0 | 0019 | B3 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/9 |    |      |      |      |    |    |     | 0,0 | 0019 | B3 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/10|    |      |      |      |    |    |     | 0,0 | 0019 | B3 | 0029 | FFFE | B3 | 0000 | 011F | 0055 | FF | 1,1 | FF,00 | OTIR         |
| 18/11|    | MREQ |      |      | RD |    |     | 0,0 | 0055 | B3 | 0029 | FFFE | B3 | 0000 | 011F | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 18/12|    |      |      |      |    |    |     | 0,0 | 0055 | 07 | 0029 | FFFE | B3 | 0000 | 001F | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 18/13|    |      |      |      |    |    |     | 0,0 | 0055 | 07 | 0029 | FFFE | B3 | 0000 | 001F | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 18/14|    |      | IORQ |      |    | WR |     | 0,0 | 001F | 07 | 0029 | FFFE | B3 | 0000 | 001F | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 18/15|    |      |      |      |    |    |     | 0,0 | 001F | 07 | 0029 | FFFE | B3 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 18/16|    |      |      |      |    |    |     | 0,0 | 001F | 07 | 0029 | FFFE | B3 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 19/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0029 | 07 | 002A | FFFE | B3 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/2 |    |      |      |      |    |    |     | 0,0 | 0029 | 21 | 002A | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 001A | 21 | 002A | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/4 |    |      |      |      |    |    |     | 0,0 | 001A | 21 | 002A | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/5 |    |      |      |      |    |    |     | 0,0 | 001A | 21 | 002A | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/6 |    | MREQ |      |      | RD |    |     | 0,0 | 002A | 21 | 002B | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/7 |    |      |      |      |    |    |     | 0,0 | 002A | 56 | 002B | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/8 |    |      |      |      |    |    |     | 0,0 | 002A | 56 | 002B | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/9 |    | MREQ |      |      | RD |    |     | 0,0 | 002B | 56 | 002C | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 19/10|    |      |      |      |    |    |     | 0,0 | 002B | 00 | 002C | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD HL,0056h  |
| 20/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 002C | 00 | 002D | FFFE | 21 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 20/2 |    |      |      |      |    |    |     | 0,0 | 002C | 06 | 002D | FFFE | 06 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 20/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 001B | 06 | 002D | FFFE | 06 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 20/4 |    |      |      |      |    |    |     | 0,0 | 001B | 06 | 002D | FFFE | 06 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 20/5 |    |      |      |      |    |    |     | 0,0 | 001B | 06 | 002D | FFFE | 06 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 20/6 |    | MREQ |      |      | RD |    |     | 0,0 | 002D | 06 | 002E | FFFE | 06 | 0044 | 001F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 20/7 |    |      |      |      |    |    |     | 0,0 | 002D | 03 | 002E | FFFE | 06 | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD B,03h     |
| 21/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 002E | 03 | 002F | FFFE | 06 | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 21/2 |    |      |      |      |    |    |     | 0,0 | 002E | 0E | 002F | FFFE | 0E | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 21/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 001C | 0E | 002F | FFFE | 0E | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 21/4 |    |      |      |      |    |    |     | 0,0 | 001C | 0E | 002F | FFFE | 0E | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 21/5 |    |      |      |      |    |    |     | 0,0 | 001C | 0E | 002F | FFFE | 0E | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 21/6 |    | MREQ |      |      | RD |    |     | 0,0 | 002F | 0E | 0030 | FFFE | 0E | 0044 | 031F | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 21/7 |    |      |      |      |    |    |     | 0,0 | 002F | 10 | 0030 | FFFE | 0E | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | LD C,10h     |
| 22/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0030 | 10 | 0031 | FFFE | 0E | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/2 |    |      |      |      |    |    |     | 0,0 | 0030 | ED | 0031 | FFFE | ED | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 001D | ED | 0031 | FFFE | ED | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/4 |    |      |      |      |    |    |     | 0,0 | 001D | ED | 0031 | FFFE | ED | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0031 | ED | 0032 | FFFE | ED | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/6 |    |      |      |      |    |    |     | 0,0 | 0031 | B3 | 0032 | FFFE | B3 | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 001E | B3 | 0032 | FFFE | B3 | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/8 |    |      |      |      |    |    |     | 0,0 | 001E | B3 | 0032 | FFFE | B3 | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/9 |    |      |      |      |    |    |     | 0,0 | 001E | B3 | 0032 | FFFE | B3 | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/10|    |      |      |      |    |    |     | 0,0 | 001E | B3 | 0032 | FFFE | B3 | 0044 | 0310 | 0056 | FF | 1,1 | FF,00 | OTIR         |
| 22/11|    | MREQ |      |      | RD |    |     | 0,0 | 0056 | B3 | 0032 | FFFE | B3 | 0044 | 0310 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/12|    |      |      |      |    |    |     | 0,0 | 0056 | 48 | 0032 | FFFE | B3 | 0044 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/13|    |      |      |      |    |    |     | 0,0 | 0056 | 48 | 0032 | FFFE | B3 | 0044 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/14|    |      | IORQ |      |    | WR |     | 0,0 | 0210 | 48 | 0032 | FFFE | B3 | 0044 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/15|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/16|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/17|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0030 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/18|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0030 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/19|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0030 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/20|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0030 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 22/21|    |      |      |      |    |    |     | 0,0 | 0210 | 48 | 0030 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0030 | 48 | 0031 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/2 |    |      |      |      |    |    |     | 0,0 | 0030 | ED | 0031 | FFFE | ED | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 001F | ED | 0031 | FFFE | ED | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/4 |    |      |      |      |    |    |     | 0,0 | 001F | ED | 0031 | FFFE | ED | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0031 | ED | 0032 | FFFE | ED | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/6 |    |      |      |      |    |    |     | 0,0 | 0031 | B3 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0020 | B3 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/8 |    |      |      |      |    |    |     | 0,0 | 0020 | B3 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/9 |    |      |      |      |    |    |     | 0,0 | 0020 | B3 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/10|    |      |      |      |    |    |     | 0,0 | 0020 | B3 | 0032 | FFFE | B3 | 0004 | 0210 | 0057 | FF | 1,1 | FF,00 | OTIR         |
| 23/11|    | MREQ |      |      | RD |    |     | 0,0 | 0057 | B3 | 0032 | FFFE | B3 | 0004 | 0210 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/12|    |      |      |      |    |    |     | 0,0 | 0057 | 87 | 0032 | FFFE | B3 | 0004 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/13|    |      |      |      |    |    |     | 0,0 | 0057 | 87 | 0032 | FFFE | B3 | 0004 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/14|    |      | IORQ |      |    | WR |     | 0,0 | 0110 | 87 | 0032 | FFFE | B3 | 0004 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/15|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/16|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/17|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0030 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/18|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0030 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/19|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0030 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/20|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0030 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 23/21|    |      |      |      |    |    |     | 0,0 | 0110 | 87 | 0030 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0030 | 87 | 0031 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/2 |    |      |      |      |    |    |     | 0,0 | 0030 | ED | 0031 | FFFE | ED | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0021 | ED | 0031 | FFFE | ED | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/4 |    |      |      |      |    |    |     | 0,0 | 0021 | ED | 0031 | FFFE | ED | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0031 | ED | 0032 | FFFE | ED | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/6 |    |      |      |      |    |    |     | 0,0 | 0031 | B3 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0022 | B3 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/8 |    |      |      |      |    |    |     | 0,0 | 0022 | B3 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/9 |    |      |      |      |    |    |     | 0,0 | 0022 | B3 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/10|    |      |      |      |    |    |     | 0,0 | 0022 | B3 | 0032 | FFFE | B3 | 0006 | 0110 | 0058 | FF | 1,1 | FF,00 | OTIR         |
| 24/11|    | MREQ |      |      | RD |    |     | 0,0 | 0058 | B3 | 0032 | FFFE | B3 | 0006 | 0110 | 0059 | FF | 1,1 | FF,00 | OTIR         |
| 24/12|    |      |      |      |    |    |     | 0,0 | 0058 | 08 | 0032 | FFFE | B3 | 0006 | 0010 | 0059 | FF | 1,1 | FF,00 | OTIR         |
| 24/13|    |      |      |      |    |    |     | 0,0 | 0058 | 08 | 0032 | FFFE | B3 | 0006 | 0010 | 0059 | FF | 1,1 | FF,00 | OTIR         |
| 24/14|    |      | IORQ |      |    | WR |     | 0,0 | 0010 | 08 | 0032 | FFFE | B3 | 0006 | 0010 | 0059 | FF | 1,1 | FF,00 | OTIR         |
| 24/15|    |      |      |      |    |    |     | 0,0 | 0010 | 08 | 0032 | FFFE | B3 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | OTIR         |
| 24/16|    |      |      |      |    |    |     | 0,0 | 0010 | 08 | 0032 | FFFE | B3 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | OTIR         |
| 25/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0032 | 08 | 0033 | FFFE | B3 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/2 |    |      |      |      |    |    |     | 0,0 | 0032 | C9 | 0033 | FFFE | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0023 | C9 | 0033 | FFFE | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/4 |    |      |      |      |    |    |     | 0,0 | 0023 | C9 | 0033 | FFFE | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/5 |    |      |      |      |    |    |     | 0,0 | 0023 | C9 | 0033 | FFFE | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/6 |    | MREQ |      |      | RD |    |     | 0,0 | FFFE | C9 | 0033 | FFFF | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/7 |    |      |      |      |    |    |     | 0,0 | FFFE | 0C | 0033 | FFFF | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/8 |    |      |      |      |    |    |     | 0,0 | FFFE | 0C | 0033 | FFFF | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
| 25/9 |    | MREQ |      |      | RD |    |     | 0,0 | FFFF | 0C | 0033 | 0000 | C9 | 0040 | 0010 | 0059 | FF | 1,1 | FF,00 | RET          |
