+------+----+------+------+------+----+----+-----+-----+------+----+------+------+----+------+------+------+----+-----+-------+--------------+
|ins/t | M1 | MREQ | IORQ | RFSH | RD | WR | INT | IFF | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | ieo | pio   | asm          |
|  5/8 |    |      |      |      |    |    |     | 0,0 | 0006 | 47 | 0009 | 0000 | 47 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD I,A       |
|  5/9 |    |      |      |      |    |    |     | 0,0 | 0006 | 47 | 0009 | 0000 | 47 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD I,A       |
|  6/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0009 | 47 | 000A | 0000 | 47 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/2 |    |      |      |      |    |    |     | 0,0 | 0009 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0007 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/4 |    |      |      |      |    |    |     | 0,0 | 0007 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/5 |    |      |      |      |    |    |     | 0,0 | 0007 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/6 |    | MREQ |      |      | RD |    |     | 0,0 | 000A | CD | 000B | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/7 |    |      |      |      |    |    |     | 0,0 | 000A | 17 | 000B | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/8 |    |      |      |      |    |    |     | 0,0 | 000A | 17 | 000B | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/9 |    | MREQ |      |      | RD |    |     | 0,0 | 000B | 17 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/10|    |      |      |      |    |    |     | 0,0 | 000B | 00 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/11|    |      |      |      |    |    |     | 0,0 | 000B | 00 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/12|    |      |      |      |    |    |     | 0,0 | 000B | 00 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/13|    | MREQ |      |      |    | WR |     | 0,0 | FFFF | 00 | 000C | FFFF | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/14|    |      |      |      |    |    |     | 0,0 | FFFF | 00 | 000C | FFFF | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/15|    |      |      |      |    |    |     | 0,0 | FFFF | 00 | 000C | FFFF | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/16|    | MREQ |      |      |    | WR |     | 0,0 | FFFE | 0C | 0017 | FFFE | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  6/17|    |      |      |      |    |    |     | 0,0 | FFFE | 0C | 0017 | FFFE | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | CALL 0017h   |
|  7/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0017 | 0C | 0018 | FFFE | CD | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/2 |    |      |      |      |    |    |     | 0,0 | 0017 | 21 | 0018 | FFFE | 21 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0008 | 21 | 0018 | FFFE | 21 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/4 |    |      |      |      |    |    |     | 0,0 | 0008 | 21 | 0018 | FFFE | 21 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/5 |    |      |      |      |    |    |     | 0,0 | 0008 | 21 | 0018 | FFFE | 21 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/6 |    | MREQ |      |      | RD |    |     | 0,0 | 0018 | 21 | 0019 | FFFE | 21 | 0044 | FFFF | FFFF | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/7 |    |      |      |      |    |    |     | 0,0 | 0018 | 50 | 0019 | FFFE | 21 | 0044 | FFFF | FF50 | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/8 |    |      |      |      |    |    |     | 0,0 | 0018 | 50 | 0019 | FFFE | 21 | 0044 | FFFF | FF50 | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/9 |    | MREQ |      |      | RD |    |     | 0,0 | 0019 | 50 | 001A | FFFE | 21 | 0044 | FFFF | FF50 | FF | 1,1 | FF,FF | LD HL,0050h  |
|  7/10|    |      |      |      |    |    |     | 0,0 | 0019 | 00 | 001A | FFFE | 21 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD HL,0050h  |
|  8/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001A | 00 | 001B | FFFE | 21 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
|  8/2 |    |      |      |      |    |    |     | 0,0 | 001A | 06 | 001B | FFFE | 06 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
|  8/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0009 | 06 | 001B | FFFE | 06 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
|  8/4 |    |      |      |      |    |    |     | 0,0 | 0009 | 06 | 001B | FFFE | 06 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
|  8/5 |    |      |      |      |    |    |     | 0,0 | 0009 | 06 | 001B | FFFE | 06 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
|  8/6 |    | MREQ |      |      | RD |    |     | 0,0 | 001B | 06 | 001C | FFFE | 06 | 0044 | FFFF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
