+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|    38 |    | MREQ |      | RFSH |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    39 |    |      |      |      |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    40 |    |      |      |      |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    41 |    | MREQ |      |      | RD |    |     |     |      | 000A | CD | 000B | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    42 |    |      |      |      |    |    |     |     |      | 000A | 1E | 000B | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    43 |    |      |      |      |    |    |     |     |      | 000A | 1E | 000B | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    44 |    | MREQ |      |      | RD |    |     |     |      | 000B | 1E | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    45 |    |      |      |      |    |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    46 |    |      |      |      |    |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    47 |    |      |      |      |    |    |     |     |      | 000B | 00 | 000C | 0000 | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
