+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|   161 |    | MREQ |      | RFSH |    |    |     |     |      | 0014 | ED | 002F | FFFE | ED | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   162 |    |      |      |      |    |    |     |     |      | 0014 | ED | 002F | FFFE | ED | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   163 | M1 | MREQ |      |      | RD |    |     |     |      | 002F | ED | 0030 | FFFE | ED | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   164 |    |      |      |      |    |    |     |     |      | 002F | B3 | 0030 | FFFE | B3 | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   165 |    | MREQ |      | RFSH |    |    |     |     |      | 0015 | B3 | 0030 | FFFE | B3 | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   166 |    |      |      |      |    |    |     |     |      | 0015 | B3 | 0030 | FFFE | B3 | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   167 |    |      |      |      |    |    |     |     |      | 0015 | B3 | 0030 | FFFE | B3 | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   168 |    |      |      |      |    |    |     |     |      | 0015 | B3 | 0030 | FFFE | B3 | 0040 | 031F | 0053 | FF FF | FF FF | OTIR         |
|   169 |    | MREQ |      |      | RD |    |     |     |      | 0053 | B3 | 0030 | FFFE | B3 | 0040 | 031F | 0054 | FF FF | FF FF | OTIR         |
|   170 |    |      |      |      |    |    |     |     |      | 0053 | CF | 0030 | FFFE | B3 | 0040 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   171 |    |      |      |      |    |    |     |     |      | 0053 | CF | 0030 | FFFE | B3 | 0040 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   172 |    |      | IORQ |      |    | WR |     |     |      | 021F | CF | 0030 | FFFE | B3 | 0040 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   173 |    |      |      |      |    |    |     |     |      | 021F | CF | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   174 |    |      |      |      |    |    |     |     |      | 021F | CF | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   175 |    |      |      |      |    |    |     |     |      | 021F | CF | 002E | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   176 |    |      |      |      |    |    |     |     |      | 021F | CF | 002E | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   177 |    |      |      |      |    |    |     |     |      | 021F | CF | 002E | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   178 |    |      |      |      |    |    |     |     |      | 021F | CF | 002E | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   179 |    |      |      |      |    |    |     |     |      | 021F | CF | 002E | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   180 | M1 | MREQ |      |      | RD |    |     |     |      | 002E | CF | 002F | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   181 |    |      |      |      |    |    |     |     |      | 002E | ED | 002F | FFFE | ED | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   182 |    | MREQ |      | RFSH |    |    |     |     |      | 0016 | ED | 002F | FFFE | ED | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   183 |    |      |      |      |    |    |     |     |      | 0016 | ED | 002F | FFFE | ED | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   184 | M1 | MREQ |      |      | RD |    |     |     |      | 002F | ED | 0030 | FFFE | ED | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   185 |    |      |      |      |    |    |     |     |      | 002F | B3 | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   186 |    | MREQ |      | RFSH |    |    |     |     |      | 0017 | B3 | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   187 |    |      |      |      |    |    |     |     |      | 0017 | B3 | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   188 |    |      |      |      |    |    |     |     |      | 0017 | B3 | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   189 |    |      |      |      |    |    |     |     |      | 0017 | B3 | 0030 | FFFE | B3 | 0013 | 021F | 0054 | FF FF | FF FF | OTIR         |
|   190 |    | MREQ |      |      | RD |    |     |     |      | 0054 | B3 | 0030 | FFFE | B3 | 0013 | 021F | 0055 | FF FF | FF FF | OTIR         |
|   191 |    |      |      |      |    |    |     |     |      | 0054 | 00 | 0030 | FFFE | B3 | 0013 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   192 |    |      |      |      |    |    |     |     |      | 0054 | 00 | 0030 | FFFE | B3 | 0013 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   193 |    |      | IORQ |      |    | WR |     |     |      | 011F | 00 | 0030 | FFFE | B3 | 0013 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   194 |    |      |      |      |    |    |     |     |      | 011F | 00 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   195 |    |      |      |      |    |    |     |     |      | 011F | 00 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   196 |    |      |      |      |    |    |     |     |      | 011F | 00 | 002E | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   197 |    |      |      |      |    |    |     |     |      | 011F | 00 | 002E | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   198 |    |      |      |      |    |    |     |     |      | 011F | 00 | 002E | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   199 |    |      |      |      |    |    |     |     |      | 011F | 00 | 002E | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   200 |    |      |      |      |    |    |     |     |      | 011F | 00 | 002E | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   201 | M1 | MREQ |      |      | RD |    |     |     |      | 002E | 00 | 002F | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   202 |    |      |      |      |    |    |     |     |      | 002E | ED | 002F | FFFE | ED | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   203 |    | MREQ |      | RFSH |    |    |     |     |      | 0018 | ED | 002F | FFFE | ED | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   204 |    |      |      |      |    |    |     |     |      | 0018 | ED | 002F | FFFE | ED | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   205 | M1 | MREQ |      |      | RD |    |     |     |      | 002F | ED | 0030 | FFFE | ED | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   206 |    |      |      |      |    |    |     |     |      | 002F | B3 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   207 |    | MREQ |      | RFSH |    |    |     |     |      | 0019 | B3 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   208 |    |      |      |      |    |    |     |     |      | 0019 | B3 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   209 |    |      |      |      |    |    |     |     |      | 0019 | B3 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   210 |    |      |      |      |    |    |     |     |      | 0019 | B3 | 0030 | FFFE | B3 | 0000 | 011F | 0055 | FF FF | FF FF | OTIR         |
|   211 |    | MREQ |      |      | RD |    |     |     |      | 0055 | B3 | 0030 | FFFE | B3 | 0000 | 011F | 0056 | FF FF | FF FF | OTIR         |
|   212 |    |      |      |      |    |    |     |     |      | 0055 | 07 | 0030 | FFFE | B3 | 0000 | 001F | 0056 | FF FF | FF FF | OTIR         |
|   213 |    |      |      |      |    |    |     |     |      | 0055 | 07 | 0030 | FFFE | B3 | 0000 | 001F | 0056 | FF FF | FF FF | OTIR         |
|   214 |    |      | IORQ |      |    | WR |     |     |      | 001F | 07 | 0030 | FFFE | B3 | 0000 | 001F | 0056 | FF FF | FF FF | OTIR         |
|   215 |    |      |      |      |    |    |     |     |      | 001F | 07 | 0030 | FFFE | B3 | 0044 | 001F | 0056 | FF FF | FF FF | OTIR         |
|   216 |    |      |      |      |    |    |     |     |      | 001F | 07 | 0030 | FFFE | B3 | 0044 | 001F | 0056 | FF FF | FF FF | OTIR         |
|   217 | M1 | MREQ |      |      | RD |    |     |     |      | 0030 | 07 | 0031 | FFFE | B3 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   218 |    |      |      |      |    |    |     |     |      | 0030 | 21 | 0031 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   219 |    | MREQ |      | RFSH |    |    |     |     |      | 001A | 21 | 0031 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   220 |    |      |      |      |    |    |     |     |      | 001A | 21 | 0031 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   221 |    |      |      |      |    |    |     |     |      | 001A | 21 | 0031 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   222 |    | MREQ |      |      | RD |    |     |     |      | 0031 | 21 | 0032 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   223 |    |      |      |      |    |    |     |     |      | 0031 | 56 | 0032 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   224 |    |      |      |      |    |    |     |     |      | 0031 | 56 | 0032 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   225 |    | MREQ |      |      | RD |    |     |     |      | 0032 | 56 | 0033 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   226 |    |      |      |      |    |    |     |     |      | 0032 | 00 | 0033 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD HL,0056h  |
|   227 | M1 | MREQ |      |      | RD |    |     |     |      | 0033 | 00 | 0034 | FFFE | 21 | 0044 | 001F | 0056 | FF FF | FF FF | LD B,03h     |
|   228 |    |      |      |      |    |    |     |     |      | 0033 | 06 | 0034 | FFFE | 06 | 0044 | 001F | 0056 | FF FF | FF FF | LD B,03h     |
|   229 |    | MREQ |      | RFSH |    |    |     |     |      | 001B | 06 | 0034 | FFFE | 06 | 0044 | 001F | 0056 | FF FF | FF FF | LD B,03h     |
|   230 |    |      |      |      |    |    |     |     |      | 001B | 06 | 0034 | FFFE | 06 | 0044 | 001F | 0056 | FF FF | FF FF | LD B,03h     |
|   231 |    |      |      |      |    |    |     |     |      | 001B | 06 | 0034 | FFFE | 06 | 0044 | 001F | 0056 | FF FF | FF FF | LD B,03h     |
|   232 |    | MREQ |      |      | RD |    |     |     |      | 0034 | 06 | 0035 | FFFE | 06 | 0044 | 001F | 0056 | FF FF | FF FF | LD B,03h     |
|   233 |    |      |      |      |    |    |     |     |      | 0034 | 03 | 0035 | FFFE | 06 | 0044 | 031F | 0056 | FF FF | FF FF | LD B,03h     |
|   234 | M1 | MREQ |      |      | RD |    |     |     |      | 0035 | 03 | 0036 | FFFE | 06 | 0044 | 031F | 0056 | FF FF | FF FF | LD C,10h     |
|   235 |    |      |      |      |    |    |     |     |      | 0035 | 0E | 0036 | FFFE | 0E | 0044 | 031F | 0056 | FF FF | FF FF | LD C,10h     |
|   236 |    | MREQ |      | RFSH |    |    |     |     |      | 001C | 0E | 0036 | FFFE | 0E | 0044 | 031F | 0056 | FF FF | FF FF | LD C,10h     |
|   237 |    |      |      |      |    |    |     |     |      | 001C | 0E | 0036 | FFFE | 0E | 0044 | 031F | 0056 | FF FF | FF FF | LD C,10h     |
|   238 |    |      |      |      |    |    |     |     |      | 001C | 0E | 0036 | FFFE | 0E | 0044 | 031F | 0056 | FF FF | FF FF | LD C,10h     |
|   239 |    | MREQ |      |      | RD |    |     |     |      | 0036 | 0E | 0037 | FFFE | 0E | 0044 | 031F | 0056 | FF FF | FF FF | LD C,10h     |
|   240 |    |      |      |      |    |    |     |     |      | 0036 | 10 | 0037 | FFFE | 0E | 0044 | 0310 | 0056 | FF FF | FF FF | LD C,10h     |
|   241 | M1 | MREQ |      |      | RD |    |     |     |      | 0037 | 10 | 0038 | FFFE | 0E | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   242 |    |      |      |      |    |    |     |     |      | 0037 | ED | 0038 | FFFE | ED | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   243 |    | MREQ |      | RFSH |    |    |     |     |      | 001D | ED | 0038 | FFFE | ED | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   244 |    |      |      |      |    |    |     |     |      | 001D | ED | 0038 | FFFE | ED | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   245 | M1 | MREQ |      |      | RD |    |     |     |      | 0038 | ED | 0039 | FFFE | ED | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   246 |    |      |      |      |    |    |     |     |      | 0038 | B3 | 0039 | FFFE | B3 | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   247 |    | MREQ |      | RFSH |    |    |     |     |      | 001E | B3 | 0039 | FFFE | B3 | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   248 |    |      |      |      |    |    |     |     |      | 001E | B3 | 0039 | FFFE | B3 | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   249 |    |      |      |      |    |    |     |     |      | 001E | B3 | 0039 | FFFE | B3 | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   250 |    |      |      |      |    |    |     |     |      | 001E | B3 | 0039 | FFFE | B3 | 0044 | 0310 | 0056 | FF FF | FF FF | OTIR         |
|   251 |    | MREQ |      |      | RD |    |     |     |      | 0056 | B3 | 0039 | FFFE | B3 | 0044 | 0310 | 0057 | FF FF | FF FF | OTIR         |
|   252 |    |      |      |      |    |    |     |     |      | 0056 | 48 | 0039 | FFFE | B3 | 0044 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   253 |    |      |      |      |    |    |     |     |      | 0056 | 48 | 0039 | FFFE | B3 | 0044 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   254 |    |      | IORQ |      |    | WR |     |     |      | 0210 | 48 | 0039 | FFFE | B3 | 0044 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   255 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   256 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   257 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0037 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   258 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0037 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   259 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0037 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   260 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0037 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   261 |    |      |      |      |    |    |     |     |      | 0210 | 48 | 0037 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   262 | M1 | MREQ |      |      | RD |    |     |     |      | 0037 | 48 | 0038 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   263 |    |      |      |      |    |    |     |     |      | 0037 | ED | 0038 | FFFE | ED | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   264 |    | MREQ |      | RFSH |    |    |     |     |      | 001F | ED | 0038 | FFFE | ED | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   265 |    |      |      |      |    |    |     |     |      | 001F | ED | 0038 | FFFE | ED | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   266 | M1 | MREQ |      |      | RD |    |     |     |      | 0038 | ED | 0039 | FFFE | ED | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   267 |    |      |      |      |    |    |     |     |      | 0038 | B3 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   268 |    | MREQ |      | RFSH |    |    |     |     |      | 0020 | B3 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   269 |    |      |      |      |    |    |     |     |      | 0020 | B3 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   270 |    |      |      |      |    |    |     |     |      | 0020 | B3 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   271 |    |      |      |      |    |    |     |     |      | 0020 | B3 | 0039 | FFFE | B3 | 0004 | 0210 | 0057 | FF FF | FF FF | OTIR         |
|   272 |    | MREQ |      |      | RD |    |     |     |      | 0057 | B3 | 0039 | FFFE | B3 | 0004 | 0210 | 0058 | FF FF | FF FF | OTIR         |
|   273 |    |      |      |      |    |    |     |     |      | 0057 | 87 | 0039 | FFFE | B3 | 0004 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   274 |    |      |      |      |    |    |     |     |      | 0057 | 87 | 0039 | FFFE | B3 | 0004 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   275 |    |      | IORQ |      |    | WR |     |     |      | 0110 | 87 | 0039 | FFFE | B3 | 0004 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   276 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   277 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   278 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0037 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   279 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0037 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   280 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0037 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   281 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0037 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   282 |    |      |      |      |    |    |     |     |      | 0110 | 87 | 0037 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   283 | M1 | MREQ |      |      | RD |    |     |     |      | 0037 | 87 | 0038 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   284 |    |      |      |      |    |    |     |     |      | 0037 | ED | 0038 | FFFE | ED | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   285 |    | MREQ |      | RFSH |    |    |     |     |      | 0021 | ED | 0038 | FFFE | ED | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   286 |    |      |      |      |    |    |     |     |      | 0021 | ED | 0038 | FFFE | ED | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   287 | M1 | MREQ |      |      | RD |    |     |     |      | 0038 | ED | 0039 | FFFE | ED | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   288 |    |      |      |      |    |    |     |     |      | 0038 | B3 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   289 |    | MREQ |      | RFSH |    |    |     |     |      | 0022 | B3 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   290 |    |      |      |      |    |    |     |     |      | 0022 | B3 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   291 |    |      |      |      |    |    |     |     |      | 0022 | B3 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   292 |    |      |      |      |    |    |     |     |      | 0022 | B3 | 0039 | FFFE | B3 | 0006 | 0110 | 0058 | FF FF | FF FF | OTIR         |
|   293 |    | MREQ |      |      | RD |    |     |     |      | 0058 | B3 | 0039 | FFFE | B3 | 0006 | 0110 | 0059 | FF FF | FF FF | OTIR         |
|   294 |    |      |      |      |    |    |     |     |      | 0058 | 08 | 0039 | FFFE | B3 | 0006 | 0010 | 0059 | FF FF | FF FF | OTIR         |
|   295 |    |      |      |      |    |    |     |     |      | 0058 | 08 | 0039 | FFFE | B3 | 0006 | 0010 | 0059 | FF FF | FF FF | OTIR         |
|   296 |    |      | IORQ |      |    | WR |     |     |      | 0010 | 08 | 0039 | FFFE | B3 | 0006 | 0010 | 0059 | FF FF | FF FF | OTIR         |
|   297 |    |      |      |      |    |    |     |     |      | 0010 | 08 | 0039 | FFFE | B3 | 0040 | 0010 | 0059 | FF FF | FF FF | OTIR         |
|   298 |    |      |      |      |    |    |     |     |      | 0010 | 08 | 0039 | FFFE | B3 | 0040 | 0010 | 0059 | FF FF | FF FF | OTIR         |
|   299 | M1 | MREQ |      |      | RD |    |     |     |      | 0039 | 08 | 003A | FFFE | B3 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   300 |    |      |      |      |    |    |     |     |      | 0039 | C9 | 003A | FFFE | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   301 |    | MREQ |      | RFSH |    |    |     |     |      | 0023 | C9 | 003A | FFFE | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   302 |    |      |      |      |    |    |     |     |      | 0023 | C9 | 003A | FFFE | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   303 |    |      |      |      |    |    |     |     |      | 0023 | C9 | 003A | FFFE | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   304 |    | MREQ |      |      | RD |    |     |     |      | FFFE | C9 | 003A | FFFF | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   305 |    |      |      |      |    |    |     |     |      | FFFE | 0C | 003A | FFFF | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   306 |    |      |      |      |    |    |     |     |      | FFFE | 0C | 003A | FFFF | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   307 |    | MREQ |      |      | RD |    |     |     |      | FFFF | 0C | 003A | 0000 | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   308 |    |      |      |      |    |    |     |     |      | FFFF | 00 | 000C | 0000 | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | RET          |
|   309 | M1 | MREQ |      |      | RD |    |     |     |      | 000C | 00 | 000D | 0000 | C9 | 0040 | 0010 | 0059 | FF FF | FF FF | XOR A        |
|   310 |    |      |      |      |    |    |     |     |      | 000C | AF | 000D | 0000 | AF | 0040 | 0010 | 0059 | FF FF | FF FF | XOR A        |
|   311 |    | MREQ |      | RFSH |    |    |     |     |      | 0024 | AF | 000D | 0000 | AF | 0040 | 0010 | 0059 | FF FF | FF FF | XOR A        |
|   312 |    |      |      |      |    |    |     |     |      | 0024 | AF | 000D | 0000 | AF | 0040 | 0010 | 0059 | FF FF | FF FF | XOR A        |
|   313 | M1 | MREQ |      |      | RD |    |     |     |      | 000D | AF | 000E | 0000 | AF | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   314 |    |      |      |      |    |    |     |     |      | 000D | 32 | 000E | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   315 |    | MREQ |      | RFSH |    |    |     |     |      | 0025 | 32 | 000E | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   316 |    |      |      |      |    |    |     |     |      | 0025 | 32 | 000E | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   317 |    |      |      |      |    |    |     |     |      | 0025 | 32 | 000E | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   318 |    | MREQ |      |      | RD |    |     |     |      | 000E | 32 | 000F | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   319 |    |      |      |      |    |    |     |     |      | 000E | 80 | 000F | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   320 |    |      |      |      |    |    |     |     |      | 000E | 80 | 000F | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   321 |    | MREQ |      |      | RD |    |     |     |      | 000F | 80 | 0010 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   322 |    |      |      |      |    |    |     |     |      | 000F | 00 | 0010 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   323 |    |      |      |      |    |    |     |     |      | 000F | 00 | 0010 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   324 |    | MREQ |      |      |    | WR |     |     |      | 0080 | 00 | 0010 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | FF FF | LD (0080h),A |
|   325 |    |      |      |      |    |    |     |     |      | 0080 | 00 | 0010 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0080h),A |
|   326 | M1 | MREQ |      |      | RD |    |     |     |      | 0010 | 00 | 0011 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   327 |    |      |      |      |    |    |     |     |      | 0010 | 32 | 0011 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   328 |    | MREQ |      | RFSH |    |    |     |     |      | 0026 | 32 | 0011 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   329 |    |      |      |      |    |    |     |     |      | 0026 | 32 | 0011 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   330 |    |      |      |      |    |    |     |     |      | 0026 | 32 | 0011 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   331 |    | MREQ |      |      | RD |    |     |     |      | 0011 | 32 | 0012 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   332 |    |      |      |      |    |    |     |     |      | 0011 | 81 | 0012 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   333 |    |      |      |      |    |    |     |     |      | 0011 | 81 | 0012 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   334 |    | MREQ |      |      | RD |    |     |     |      | 0012 | 81 | 0013 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
|   335 |    |      |      |      |    |    |     |     |      | 0012 | 00 | 0013 | 0000 | 32 | 0044 | 0010 | 0059 | FF FF | 00 FF | LD (0081h),A |
