+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | PIO   | Asm          |
|20/1 | M1 | MREQ |      |      | RD |    | 0020 | 00 | 0021 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|20/2 |    |      |      |      |    |    | 0020 | ED | 0021 | FFFE | ED | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|20/3 |    | MREQ |      | RFSH |    |    | 0013 | ED | 0021 | FFFE | ED | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|20/4 |    |      |      |      |    |    | 0013 | ED | 0021 | FFFE | ED | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/1 | M1 | MREQ |      |      | RD |    | 0021 | ED | 0022 | FFFE | ED | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/2 |    |      |      |      |    |    | 0021 | B3 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/3 |    | MREQ |      | RFSH |    |    | 0014 | B3 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/4 |    |      |      |      |    |    | 0014 | B3 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/5 |    |      |      |      |    |    | 0014 | B3 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/6 |    |      |      |      |    |    | 0014 | B3 | 0022 | FFFE | B3 | FF00 | 011F | 0035 | FF | AA,00 | OTIR         |
|21/7 |    | MREQ |      |      | RD |    | 0035 | B3 | 0022 | FFFE | B3 | FF00 | 011F | 0036 | FF | AA,00 | OTIR         |
|21/8 |    |      |      |      |    |    | 0035 | 07 | 0022 | FFFE | B3 | FF00 | 001F | 0036 | FF | AA,00 | OTIR         |
|21/9 |    |      |      |      |    |    | 0035 | 07 | 0022 | FFFE | B3 | FF00 | 001F | 0036 | FF | AA,00 | OTIR         |
|21/10|    |      | IORQ |      |    | WR | 001F | 07 | 0022 | FFFE | B3 | FF00 | 001F | 0036 | FF | AA,00 | OTIR         |
|21/11|    |      |      |      |    |    | 001F | 07 | 0022 | FFFE | B3 | FF44 | 001F | 0036 | FF | AA,00 | OTIR         |
|21/12|    |      |      |      |    |    | 001F | 07 | 0022 | FFFE | B3 | FF44 | 001F | 0036 | FF | AA,00 | OTIR         |
|22/1 | M1 | MREQ |      |      | RD |    | 0022 | 07 | 0023 | FFFE | B3 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/2 |    |      |      |      |    |    | 0022 | C9 | 0023 | FFFE | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/3 |    | MREQ |      | RFSH |    |    | 0015 | C9 | 0023 | FFFE | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/4 |    |      |      |      |    |    | 0015 | C9 | 0023 | FFFE | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/5 |    |      |      |      |    |    | 0015 | C9 | 0023 | FFFE | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/6 |    | MREQ |      |      | RD |    | FFFE | C9 | 0023 | FFFF | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/7 |    |      |      |      |    |    | FFFE | 07 | 0023 | FFFF | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/8 |    |      |      |      |    |    | FFFE | 07 | 0023 | FFFF | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/9 |    | MREQ |      |      | RD |    | FFFF | 07 | 0023 | 0000 | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|22/10|    |      |      |      |    |    | FFFF | 00 | 0007 | 0000 | C9 | FF44 | 001F | 0036 | FF | AA,00 | RET          |
|23/1 | M1 | MREQ |      |      | RD |    | 0007 | 00 | 0008 | 0000 | C9 | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/2 |    |      |      |      |    |    | 0007 | DB | 0008 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/3 |    | MREQ |      | RFSH |    |    | 0016 | DB | 0008 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/4 |    |      |      |      |    |    | 0016 | DB | 0008 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/5 |    |      |      |      |    |    | 0016 | DB | 0008 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/6 |    | MREQ |      |      | RD |    | 0008 | DB | 0009 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/7 |    |      |      |      |    |    | 0008 | 1C | 0009 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/8 |    |      |      |      |    |    | 0008 | 1C | 0009 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/9 |    |      |      |      |    |    | 0008 | 1C | 0009 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/10|    |      | IORQ |      | RD |    | FF1C | 1C | 0009 | 0000 | DB | FF44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|23/11|    |      |      |      |    |    | FF1C | AA | 0009 | 0000 | DB | AA44 | 001F | 0036 | FF | AA,00 | IN A,(1Ch)   |
|24/1 | M1 | MREQ |      |      | RD |    | 0009 | AA | 000A | 0000 | DB | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/2 |    |      |      |      |    |    | 0009 | D3 | 000A | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/3 |    | MREQ |      | RFSH |    |    | 0017 | D3 | 000A | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/4 |    |      |      |      |    |    | 0017 | D3 | 000A | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/5 |    |      |      |      |    |    | 0017 | D3 | 000A | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/6 |    | MREQ |      |      | RD |    | 000A | D3 | 000B | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/7 |    |      |      |      |    |    | 000A | 1E | 000B | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/8 |    |      |      |      |    |    | 000A | 1E | 000B | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/9 |    |      | IORQ |      |    | WR | AA1E | AA | 000B | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,00 | OUT (1Eh),A  |
|24/10|    |      |      |      |    |    | AA1E | AA | 000B | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,AA | OUT (1Eh),A  |
|24/11|    |      |      |      |    |    | AA1E | AA | 000B | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,AA | OUT (1Eh),A  |
|25/1 | M1 | MREQ |      |      | RD |    | 000B | AA | 000C | 0000 | D3 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/2 |    |      |      |      |    |    | 000B | 32 | 000C | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/3 |    | MREQ |      | RFSH |    |    | 0018 | 32 | 000C | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/4 |    |      |      |      |    |    | 0018 | 32 | 000C | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/5 |    |      |      |      |    |    | 0018 | 32 | 000C | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/6 |    | MREQ |      |      | RD |    | 000C | 32 | 000D | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/7 |    |      |      |      |    |    | 000C | 40 | 000D | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/8 |    |      |      |      |    |    | 000C | 40 | 000D | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/9 |    | MREQ |      |      | RD |    | 000D | 40 | 000E | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/10|    |      |      |      |    |    | 000D | 00 | 000E | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/11|    |      |      |      |    |    | 000D | 00 | 000E | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/12|    | MREQ |      |      |    | WR | 0040 | AA | 000E | 0000 | 32 | AA44 | 001F | 0036 | FF | AA,AA | LD (0040h),A |
|25/13|    |      |      |      |    |    | 0040 | AA | 000E | 0000 | 32 | AA44 | 001F | 0036 | AA | AA,AA | LD (0040h),A |
|26/1 | M1 | MREQ |      |      | RD |    | 000E | AA | 000F | 0000 | 32 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/2 |    |      |      |      |    |    | 000E | 18 | 000F | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/3 |    | MREQ |      | RFSH |    |    | 0019 | 18 | 000F | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/4 |    |      |      |      |    |    | 0019 | 18 | 000F | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/5 |    |      |      |      |    |    | 0019 | 18 | 000F | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/6 |    | MREQ |      |      | RD |    | 000F | 18 | 0010 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/7 |    |      |      |      |    |    | 000F | F7 | 0010 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/8 |    |      |      |      |    |    | 000F | F7 | 0007 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/9 |    |      |      |      |    |    | 000F | F7 | 0007 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/10|    |      |      |      |    |    | 000F | F7 | 0007 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/11|    |      |      |      |    |    | 000F | F7 | 0007 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|26/12|    |      |      |      |    |    | 000F | F7 | 0007 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | JR 0007h     |
|27/1 | M1 | MREQ |      |      | RD |    | 0007 | F7 | 0008 | 0000 | 18 | AA44 | 001F | 0036 | AA | AA,AA | IN A,(1Ch)   |
|27/2 |    |      |      |      |    |    | 0007 | DB | 0008 | 0000 | DB | AA44 | 001F | 0036 | AA | AA,AA | IN A,(1Ch)   |
